151,288,0
187,226,1
202,166,2
218,115,3
230,71,4
122,177,5
140,197,6
160,233,7
180,265,8
103,234,9
130,283,10
156,330,11
178,363,12
97,283,13
125,330,14
150,365,15
170,384,16
100,323,17
115,363,18
137,393,19
156,408,20
170,306,0
198,248,1
209,188,2
213,138,3
218,89,4
131,207,5
152,232,6
175,254,7
197,275,8
111,267,9
139,310,10
167,349,11
192,385,12
108,323,13
135,374,14
162,415,15
184,444,16
114,370,17
130,421,18
154,456,19
174,478,20
204,316,0
233,262,1
232,206,2
227,157,3
234,101,4
141,221,5
157,231,6
184,250,7
211,266,8
119,282,9
131,315,10
167,354,11
205,387,12
116,339,13
129,382,14
158,426,15
191,457,16
127,387,17
138,437,18
164,473,19
189,497,20
76,216,0
138,173,1
193,153,2
232,138,3
255,101,4
143,210,5
191,234,6
227,253,7
257,267,8
122,271,9
165,316,10
210,352,11
245,379,12
105,320,13
145,375,14
179,415,15
209,444,16
98,356,17
136,423,18
164,457,19
188,483,20
52,215,0
106,165,1
166,143,2
217,127,3
251,98,4
156,209,5
202,234,6
245,255,7
287,280,8
128,275,9
171,327,10
218,362,11
258,394,12
112,326,13
147,383,14
189,421,15
223,449,16
107,359,17
133,423,18
162,459,19
189,487,20
43,234,0
105,174,1
177,150,2
235,136,3
273,107,4
167,214,5
224,244,6
272,264,7
318,286,8
144,279,9
191,330,10
240,365,11
281,400,12
129,330,13
166,387,14
209,421,15
247,452,16
121,366,17
151,430,18
177,466,19
206,498,20
1015,988,0
1068,904,1
1110,790,2
1104,701,3
1097,663,4
1151,851,5
1174,762,6
1161,690,7
1150,634,8
1088,884,9
1073,786,10
1059,717,11
1053,677,12
1016,913,13
1000,829,14
998,775,15
1002,743,16
941,935,17
921,875,18
916,842,19
916,825,20
65,266,0
131,215,1
202,192,2
264,177,3
306,144,4
190,246,5
264,272,6
314,293,7
356,316,8
165,304,9
230,356,10
281,390,11
321,420,12
142,351,13
197,411,14
241,448,15
279,477,16
125,385,17
166,448,18
197,485,19
228,516,20
1020,766,0
1072,692,1
1096,638,2
1087,593,3
1050,574,4
1113,709,5
1131,657,6
1112,596,7
1082,546,8
1064,752,9
1056,719,10
1018,652,11
983,601,12
1007,790,13
985,754,14
940,690,15
909,630,16
949,811,17
918,772,18
889,711,19
873,656,20
913,678,0
924,622,1
943,580,2
952,561,3
951,545,4
1110,577,5
1077,534,6
1033,510,7
993,495,8
1114,638,9
1082,597,10
1018,572,11
972,560,12
1088,696,13
1027,653,14
954,625,15
917,618,16
1042,747,17
991,708,18
939,679,19
915,672,20
956,647,0
987,583,1
1008,532,2
1000,507,3
984,495,4
1114,570,5
1052,529,6
979,517,7
920,506,8
1088,636,9
992,596,10
919,564,11
870,536,12
1041,689,13
943,643,14
889,604,15
856,574,16
989,724,17
914,681,18
877,642,19
857,612,20
971,601,0
994,541,1
1025,486,2
1013,460,3
980,462,4
1091,541,5
1028,525,6
951,514,7
899,503,8
1075,610,9
991,587,10
914,554,11
862,525,12
1041,662,13
955,635,14
890,596,15
848,562,16
1001,696,17
933,673,18
887,643,19
857,615,20
961,580,0
980,525,1
1005,469,2
997,439,3
970,454,4
1075,536,5
999,522,6
935,503,7
893,486,8
1062,600,9
972,575,10
903,544,11
859,517,12
1033,649,13
947,625,14
885,590,15
846,557,16
996,684,17
927,667,18
881,637,19
853,605,20
932,572,0
956,516,1
989,466,2
989,446,3
958,466,4
1061,537,5
987,521,6
928,504,7
890,489,8
1050,598,9
966,574,10
902,546,11
858,521,12
1024,645,13
942,624,14
883,588,15
845,555,16
990,679,17
925,665,18
878,634,19
849,600,20
913,574,0
938,525,1
970,482,2
983,461,3
963,472,4
1055,548,5
990,533,6
931,517,7
890,502,8
1040,605,9
965,584,10
903,552,11
861,524,12
1012,649,13
938,629,14
883,592,15
847,557,16
976,679,17
921,667,18
877,635,19
849,603,20
920,583,0
940,536,1
970,494,2
981,475,3
964,484,4
1042,556,5
974,545,6
920,531,7
880,516,8
1028,610,9
956,592,10
896,564,11
853,538,12
1002,653,13
934,636,14
881,604,15
847,573,16
968,682,17
917,674,18
878,646,19
855,618,20
914,588,0
933,542,1
961,501,2
968,486,3
948,498,4
1033,564,5
969,555,6
916,543,7
878,529,8
1021,616,9
952,603,10
893,576,11
850,551,12
996,657,13
928,644,14
878,613,15
846,583,16
964,684,17
914,679,18
876,653,19
854,626,20
914,592,0
932,549,1
955,511,2
962,497,3
946,508,4
1024,573,5
958,564,6
907,551,7
873,538,8
1012,623,9
939,608,10
885,582,11
849,559,12
988,662,13
917,649,14
871,617,15
843,588,16
957,689,17
904,685,18
868,658,19
847,629,20
908,593,0
925,555,1
948,521,2
956,509,3
946,521,4
1020,582,5
958,575,6
911,562,7
880,548,8
1007,632,9
940,618,10
888,593,11
852,570,12
982,669,13
919,657,14
874,627,15
845,600,16
951,694,17
904,691,18
868,663,19
848,636,20
899,594,0
915,563,1
941,536,2
950,529,3
943,533,4
1017,592,5
964,588,6
917,576,7
884,562,8
1004,640,9
944,630,10
894,606,11
857,583,12
979,675,13
922,667,14
879,638,15
851,612,16
948,700,17
904,697,18
871,668,19
852,642,20
888,592,0
903,568,1
926,546,2
939,547,3
947,568,4
1016,608,5
968,606,6
921,595,7
892,585,8
1002,654,9
941,646,10
895,622,11
867,603,12
976,688,13
915,679,14
878,651,15
859,629,16
943,710,17
896,705,18
870,676,19
860,653,20
886,602,0
900,583,1
923,566,2
938,572,3
939,597,4
1011,633,5
965,633,6
923,625,7
899,615,8
999,672,9
940,667,10
900,646,11
879,626,12
976,701,13
918,694,14
884,668,15
867,646,16
945,723,17
904,722,18
880,696,19
870,675,20
907,620,0
909,603,1
922,609,2
925,641,3
924,674,4
1005,658,5
918,679,6
907,656,7
926,639,8
1003,688,9
908,698,10
901,668,11
916,651,12
988,712,13
899,716,14
893,685,15
907,670,16
967,730,17
903,733,18
897,705,19
908,687,20
905,667,0
911,643,1
922,636,2
923,664,3
915,697,4
1012,668,5
959,696,6
927,692,7
915,682,8
1013,710,9
951,732,10
915,713,11
907,694,12
997,743,13
937,757,14
906,734,15
898,715,16
975,767,17
928,771,18
904,749,19
